seed,scenario,controller,p95_ms,p99_ms,violation_pct,served_iops,queue_depth,actions,fairness,decision_us
3,nominal,predictive_no_forecast,7.409756997538317,8.869254587962532,0.0,17831.101242562687,3.035000441497392,14,1.0,2.610125
3,nominal,mpc,7.841381632512549,9.385896196492286,0.24305555555555555,17826.190727985802,8.168187358092135,25,0.999996910166305,19.499870833333333
4,nominal,static,10.987060602720728,13.151178600226299,22.916666666666664,17787.706319559627,46.45783889416953,0,0.9387527775880441,0.09314444444444445
4,nominal,reactive,9.606041608365201,11.498140713043187,15.902777777777777,17809.62295315301,21.195694579197482,96,0.9993180590464381,3.4014402777777777
4,nominal,predictive,7.075846427024145,8.469573753559207,0.0,17829.505520986666,0.0,40,1.0,19.086327777777775
4,nominal,predictive_no_forecast,7.465598256994934,8.936094883372721,0.0,17827.402584379095,4.0714945388772685,14,1.0,2.5929375
4,nominal,mpc,7.660270688286154,9.169111884463726,0.0,17825.62182957264,6.836986618295766,24,1.0,19.804631944444445
5,nominal,static,10.576246598177176,12.659446685696915,13.576388888888888,17788.294741170233,32.68458782449014,0,0.9714161228180839,0.08765416666666667
5,nominal,reactive,9.9918544471054,11.959946989717075,0.6597222222222222,17818.562989137674,22.944168584288356,9,0.9999854065846796,1.90145
5,nominal,predictive,7.149586841326837,8.557838794921516,0.0,17839.725191910093,0.5834464909633753,46,1.0,19.45797222222222
5,nominal,predictive_no_forecast,7.243948337223026,8.670786646069985,0.0,17838.542788084225,2.073442380702761,14,1.0,2.6308944444444444
5,nominal,mpc,7.716512774869861,9.236431957798764,0.06944444444444445,17831.563733400868,6.776035027134654,25,0.9999991573582904,19.93599861111111
6,nominal,static,13.573901914926475,16.24754926180592,51.80555555555556,17779.369972953747,70.23549966478062,0,0.9450795193786631,0.08678749999999999
6,nominal,reactive,10.013445450283841,11.985790766248837,14.20138888888889,17812.295363072946,29.21952953324042,78,0.9991789962903228,3.1050416666666667
6,nominal,predictive,7.689371386721617,9.203944538651621,0.0,17833.540641921863,6.403434038943104,44,1.0,19.50099722222222
6,nominal,predictive_no_forecast,8.208044223343862,9.82478020672976,0.6597222222222222,17828.770747367496,11.668275998671215,15,0.9999786640201028,2.66705
6,nominal,mpc,9.186228200626326,10.995636785598178,18.88888888888889,17820.778640295957,22.547198643127043,27,0.9984400818793191,20.802734722222223
7,nominal,static,12.341548170289476,14.772459173528329,28.368055555555554,17733.342263275234,53.5513890322858,0,0.9428074556464702,0.09195694444444445
7,nominal,reactive,10.505647254555647,12.574941410755988,13.854166666666668,17778.569811746776,31.89988712693704,75,0.9773271628426436,3.04675
7,nominal,predictive,7.810924623429733,9.349440079559837,0.0,17802.00720043507,6.32958999838068,46,1.0,20.486420833333334
7,nominal,predictive_no_forecast,8.401292886423875,10.056093000416455,0.6597222222222222,17796.159336109507,11.446144683902396,19,0.9999650244933747,2.7088513888888888
7,nominal,mpc,9.374620728222798,11.221136932266708,12.395833333333334,17785.621085390834,20.876097546191662,28,0.9896333470985493,20.13831111111111
8,nominal,static,12.296859000537767,14.718967591552776,38.50694444444444,17752.007832022926,54.841910063443535,0,0.9512422494358406,0.08945833333333333
8,nominal,reactive,11.491230935419592,13.754655210578,3.7152777777777777,17789.324773240867,36.275551017599746,32,0.9998966085390167,2.3128569444444445
8,nominal,predictive,7.411032559078295,8.87078139647251,0.0,17812.56985812632,3.381407922302502,46,1.0,19.799294444444445
8,nominal,predictive_no_forecast,7.563873289993823,9.053727119841097,0.0,17812.334508671633,4.646491584690672,15,1.0,2.702240277777778
8,nominal,mpc,8.253941506196789,9.879717863477968,12.256944444444445,17801.472831066803,13.059308870724271,30,0.9972208990580048,21.41000138888889
9,nominal,static,10.40463463185588,12.454032362372956,24.166666666666668,17755.975805220773,39.414260317027896,0,0.9557904468456385,0.09223055555555555
9,nominal,reactive,10.96393177733852,13.123494097117327,13.715277777777779,17794.43687435291,37.26443036807461,68,0.9792556629602484,2.969473611111111
9,nominal,predictive,8.21824983930412,9.836996019773116,10.520833333333334,17813.599703226588,13.003796383782088,46,0.9906408741952669,20.20752222222222
9,nominal,predictive_no_forecast,8.3446761724235,9.988324509416,10.45138888888889,17816.323392910457,14.638903435910157,15,0.9881842104647272,2.7075500000000003
9,nominal,mpc,8.659842180390445,10.365568670467349,12.777777777777777,17801.17200657658,18.220413909789258,23,0.9813183834560887,20.023320833333337
